第一部	الْجُزْءُ الْأَوَّل
《朱哈趣闻轶事》（阿拉伯民间笑话），刘谦 万日林 徐平译，中国民间文艺出版社，1982年）	حِكَايَاتُ جُحَا (قَصَصٌ شَعْبِيَّةٌ فُكَاهِيَّةٌ عَرَبِيَّةٌ؛ تَرْجَمَةُ: ليو تشيان، وان ره لين، شو بهينغ؛ مَطْبَعَةُ الصِّينِ لِلْآدَابِ والْفُنُونِ الشَّعْبِيَّةِ؛ 1402هـ)
《主之音》（“黎巴嫩”；纪伯伦著、绿原译，人民文学出版社，1989年）	النَّبِيّ (لُبْنَان؛ تَأْلِيفُ: جبران خليل جبران، تَرْجَمَةُ: لو يوان، مَطْبَعَةُ الشَّعْبِ الْأَدَبِيَّةِ؛ 1409هـ)
《自传的回声》（“埃及”；纳吉布•马哈福兹著、薛庆国译，光明日报出版社，2001年）	أَصْدَاءُ السِّيرَةِ الذَّاتِيَّةِ (مِصْر؛ تَأْلِيفُ: نجيب محفوظ، ترجمة شييه تشينغ قوه؛ مَطْبَعَةُ جَرِيدَةِ النُّور؛ 1421هـ)
《走向深渊》（“埃及”；萨利赫•马尔西著、潘定宇 沈肇读译，新华出版社，1983年）	الصُّعُودُ إِلَى الْهَاوِيَةِ (مِصْر؛ تَأْلِيفُ: صالح مرسي؛ تَرْجَمَةُ: بهان دينغ يوه، شين جاو دوه؛ مَطْبَعَةُ شِينْخُوَا؛ 1403هـ)
《最后的宝剑》（“科威特”；苏阿德.萨巴赫著、林丰民译，中国华侨出版社，2009年）	آخِرُ السُّيُوفِ (الْكُوَيْت؛ سعاد صباح؛ تَرْجَمَةُ: فينغ لين مين؛ مَطْبَعَةُ الصِّينِيُّونَ الْأَجَانِب؛ 1430هـ)
《最后的遗嘱》（“埃及”；纳吉布•迈哈福兹著、孟凯译，上海译文出版社，1986年）	الْقَرَارُ الْأَخِيرُ (مِصْر؛ تَأْلِيفُ: نجيب محفوظ؛ تَرْجَمَةُ: مينغ كهاي؛ مَطْبَعَةُ شَانْغَهَاي لِلْآدَابِ الْمُتْرَجَمَةِ؛ 1406هـ)
《最后的印象》（“阿尔及利亚”；哈达德著、世中译，上海文艺出版社，1962年）	الِانْطِبَاعُ الْأَخِيرُ (الْجَزَائِر؛ تَأْلِيفُ: مالك حداد؛ تَرْجَمَةُ: شي جونغ؛ مَطْبَعَةُ شَانْغَهَاي لِلْفُنُونِ وَالْآدَاب؛ 1381هـ)
《罪恶的心》（“埃及”；伊赫桑•阿卜杜•库杜斯著、杨孝柏译，江苏人民出版社，1981年）	الْقَلْبُ الْمُذْنِبُ (مِصْر؛ تَأْلِيفُ: إِحْسَان عَبْدُ الْقُدُّوس؛ تَرْجَمَةُ: يانغ شياو بوه؛ مَطْبَعَةُ الشَّعْبِ فِي جِيَانْغْسُو؛ 1401هـ)
《罪孽》（“埃及”；尤素福•伊德里斯著、郭黎译，湖南人民出版社，1983年）	الْحَرَامُ (مِصْر؛ تَأْلِيفُ: يوسف إدريس؛ تَرْجَمَةُ: قووه لي؛ مَطْبَعَةُ الشَّعْبِ فِي خُونَان، 1403هـ)
《尊敬的阁下》（“埃及”；纳吉布•马哈福兹著、蒋和平译，中国文联出版社，1991年）	حَضْرَةُ الْمُحْتَرَمِ (مِصْر؛ تَأْلِيفُ: نَجِيب مَحْفُوظ، تَرْجَمَةُ: جِيَانْغ خِه بْهِينْغ؛ مَطْبَعَةُ الِاتِّحَادِ الصِّينِيِّ لِلْآدَابِ وَالْفُنُونِ؛ 1410هـ)
维吾尔文、波斯文等其他语种的中文译著和著述	مُؤَلَّفَاتٌ وَتَرْجَمَاتٌ مِنَ الْإِيغُورِيَّةِ، وَالْفَارِسِيَّةِـ وَلُغَاتٍ أُخْرَى إِلَى الصِّينِيَّةِ
《阿尔斯兰的故事》（维吾尔文历史传记著作）	قَصَصُ أَرْسِلَان (بِالْإِيغُورِيَّة فِي تَأْرِيخ السِّيرَة الذَّاتِيَّة)
《阿帕克和卓传》（维吾尔文历史传记著作）	سِيرَةُ آباك خَوَاجَة (بِالْإِيغُورِيَّة فِي تَأْرِيخ السِّيرَة الذَّاتِيَّة)
《安宁史》（新疆通史；作者：毛拉穆萨）	تَأْرِيخُ آن نينغ (أو: "تَأْرِيخُ السَّلَام"، فِي تَأْرِيخ شِينْجِيَانْغ؛ تَأْلِيفُ: مولى موسى سلامي)
《成吉思汗传》（维吾尔文历史传记著作）	سِيرَةُ جِنْكِيزْخَان (بِالْإِيغُورِيَّة فِي تَأْرِيخ السِّيرَة الذَّاتِيَّة)
《楚拉斯史》，亦称：《拉施德史续编》（作者：谢赫·马哈茂德·楚拉斯）	الصِّلَةُ لِتَأْرِيخِ الرَّشِيد (تَكْمِلَةٌ لـ: "تَأْرِيخُ الرَّشِيد"، الْمُتَخَصِّصُ فِي تَأْرِيخِ مَنْطِقَةِ شِينْجِيَانْغ؛ تَأْلِيفُ الشَّيْخ: مَحْمُود شُورَاز)
《大和卓传》（维吾尔语历史传记著作）	أَعْيَانُ الْخَوَاجَات (أَخْبَارُ مَشَايِخ وَعُلَمَاء شِينْجِيَانْغ)
《东方五史》（塔塔尔语历史古籍；作者：古尔班.阿里.哈立德）	تَأْرِيخُ وَسَطُ آسْيَا وشِينْجِيَانْغ (بالِلُّغَةِ التَّاتَارِيَّة، ثُمَّ تُرْجِمَ عام 1400هـ إلى الصِّينِية؛ تَأْلِيفُ: قربان علي خالد؛ يَتَحَدَّثُ عَنْ تَأْرِيخ شِينْجِيَانْغ وقومياتها وأديانها ووسط آسْيَا)
《东方五族史》，又称：《东方五五史》（新疆地区的五民族历史著作，维吾尔文著作）	تَأْرِيخُ الْقَوْمِيَّاتِ الْخَمْس (كِتَابٌ بِالْإِيغُورِيَّة يُؤَرِّخُ لِخَمْسِ قَوْمِيَّاتٍ مُسْلِمَةٍ في شِينْجِيَانْغ)
《福乐智慧》（维吾尔语伊斯兰式诗篇，作者：优素福.哈索.哈吉布）	بَشَائِرُ الْحِكَم (بِالْإِيغُورِيَّةِ: "قوتادغو بيليك؛ مَلْحَمَةٌ شِعْرِيَّةٌ إِسْلَامِيَّةٌ بِالِلُّغَةِ الْإِيغُورِيَّة؛ تَأْلِيفُ: يُوسُف خَاص حَاجِب)
《古洛司汤》；参见：《古力斯坦》	الْگُلِسْتَان (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
《和卓传》（维吾尔语历史传记著作）	الْأَخْبَارُ الْبَهِيَّةُ بِعَائِلَةِ الْخَوَاجَاتِ الشِّنْجِيَانِيَّة (كِتَابٌ بِالِلُّغَةِ الْإِيغُورِيَّة فِي أَخْبَار مَشَايِخ وَعُلَمَاء شِينْجِيَانْغ)
《和卓传》‎（新疆历史著作；作者：穆罕默德.萨迪克.喀什噶里）	سِيرَةُ الْخَوَاجَاتِ ‏(فِي ‏التَّارِيخِ‏ وَالسِّيَر، فِي تَأْرِيخ وَسِيرَة آل خُوجَة في شِينْجِيَانْغ؛ تَأْلِيفُ: مُحَمَّد صَادِق الْكَشْغَرِيّ)
《和卓伊斯哈克.瓦力传》（维吾尔文历史传记著作）	سِيرَةُ خَوَاجَه إِسْحَاق وَالِي (بالإيغورية فِي تَأْرِيخ السِّيرَة الذَّاتِيَّة)
《怀宁马氏宗谱》（马姓中国穆斯林宗谱研究，此姓很大可能原自十世纪左右来自西域的名叫穆罕默德的穆斯林）	الْأَنْسَابُ الْمُحَمَّدِيَّةُ فِي الْأَرَاضِي الصِّينِيةِ (يُؤَرِّخُ لِأَكْبَرِ الْعَائِلَات الصِّينِية الْمُسْلِمَة الَّتِي تُدْعَى "عَائِلَةُ مَا"، والَّذِي يُشِيرُ غَالِبًا لِشَخْصٍ اسْمُهُ: "مُحَمَّد" أَتَى مِنْ أَوَاسِطِ آسْيَا فِي الْقَرْن الْعَاشِرِ الْمِيلَادِيّ)
《回疆志》，又称：《新疆回部志》	شِينْجِيَانْغ وَأَخْبَارِهَا (كِتَابٌ فِي تَأْرِيخ وأَحْوَال شِينْجِيَانْغ فِي الْقَرْن الثامن عشر؛ تَأْلِيفُ: مَجْمُوعَة من المؤلفين فِي الْقَرْن 18)
《喀什噶尔传》（维吾尔文历史城志著作）	تَأْرِيخُ كَشْغَر (سِيرة مَدِينَة باِلْإِيغُورِيَّة)
《喀什噶尔史》（维吾尔语著作；作者：艾布·福图赫·阿卜杜勒·加法尔·阿勒马伊）	تَأْرِيخُ كَشْغَر (كِتَابٌ بِالْإِيغُورِيَّةِ فِي تَأْرِيخِ كَاشغر؛ تَأْلِيفُ: أبو الفتوح عبد الجعفر)
《喀什噶利亚史》（维吾尔语历史著作）	التَوَارِيخُ الْكَشْغَرِيّةُ (فِي تَأْرِيخ كَشغر عَاصِمَةُ شِينْجِيَانْغ)
《卡布斯教诲录》（作者：昂苏尔，麦阿里·吉卡乌斯，译者：张晖，商务印书馆；1990年）	النَّصِيحَةُ (بالْفَارِسِيَّة: "کاووس نامه یاقابوس نامه"، كِتَابٌ فِي النَّصائِحِ وَالْحِكَم، وَهُوَ ضِمْنَ كُتُبِ الْأَدَب الْفَارِسِيّ؛ تَأْلِيفُ: كيكاوس بن إسكندر بن قابوس بن وشمكير، نَشَرَتْهُ دَارُ الشُّروق الْمِصْرِيَّةِ بالِلُّغَةِ الْعَرَبِيَّة، وَتُرْجِمَ لِلُّغَةِ الصِّينِية عَلَى يد: جانغ خوي، الْمَكْتَبَةُ التِّجَارِيَّةُ لِلنَّشْرِ، عَامَ1410هـ)
《拉失德史续编》，《楚拉斯史》（作者：谢赫·马哈茂德·楚拉斯）	الصِّلَةُ لِتَأْرِيخِ الرَّشِيد (تَكْمِلَةٌ لِـ: "تَأْرِيخُ الرَّشِيد"، الْكِتَابُ الْمُتَخَصِّصُ فِي تَأْرِيخ مَنْطِقَةِ شِينْجِيَانْغ؛ تَأْلِيفُ: الشَّيْخ محمود شوراز)
《马合图木.阿杂木与和卓伊斯哈克.瓦力家族传》（维吾尔文历史传记著作）	سِيرَةُ أُسْرَةُ مَحْمُود عظم وَخَوَاجَة إِسْحَاق َولي (كِتَابٌ بِالْإِيغُورِيَّةِ فِي تَأْرِيخِ السِّيرَةِ الذَّاتِيَّةِ)
《玛朗加拉里丁布哈里传》（维吾尔文历史传记著作）	سِيرَةُ مُلَا جَلَالُ الدِّينِ الْبُخَارِيّ (دَاعِيَةٌ ذَهَبَ لشِينْجِيَانْغ لِنَشْرِ الْإِسْلَام)
《明泽天文书》，《天文宝书》，《象宗书》，《乾方秘书》，《天文书》等（波斯文天文学著作；作者：库什雅尔.吉拉尼）	مُجْمَلُ الْأُصُولِ فِي أَحْكَامِ النُّجُومِ (فَارِسِيٌّ فِي الْفَلَكِ؛ تَأْلِيفُ: كُوشْيَار الْجِيلَانِي (ت. 420 هـ )؛ تُرْجِمَ لْلُّغَةِ الصِّينِية عَام 1382م)
《穆罕默德的生平面貌》（作者：法土拉·葛兰；宗教文化出版社2006年版）	مَعَالِمُ السِّيرَةِ النَّبَوِيَّةِ (تَأْلِيفُ: فتح الله قولان، دون ذكر لاسم مترجم، مَطْبَعَةُ الثَّقَافَةِ الدِّينِيَّةِ؛ 1426هـ)
《穆斯林在中国土地上的圣战》（维吾尔文历史著作）	جِهَادُ الْمُسْلِمِينَ عَلَى الْأَرَاضِي الصِّينِية ‏(فِي ‏التَّارِيخِ‏ بِالْإِيغُورِيَّة)
《南村辍耕录》，《辍耕录》（作者：陶宗仪，元代穆斯林通史著作）	الْأَزْمِنَةُ الْغَابِرَةُ وَالْأَمَاكِنُ الْمُقْفِرَة (كِتَابَاتٌ شِنْجِيَانِيَّةٌ تَحْكِي نِهَايَةَ أُسْرَةِ يوان وَالْأَحْدَاثُ الَّتِي مَرَّ بِهَا الْمُسْلِمُون آنَذَاك؛ تَأْلِيفُ: تهاو باو إي)
《蒲寿庚考》，原名：《提举市舶西域人蒲寿庚之事迹》，《唐宋元时期中西通商史》（作者：日本汉学家桑原隲，中文译者：冯攸，商务印书馆1930年）	تَأْرِيخُ الْمُسْلِمِينَ التِّجَارِيُّ فِي عَهْدَيْ تْهَانْغ وَسُونْغ وَيُوان (بَحْثٌ يَابَانِيٌّ فِي تَأْرِيخِ الْمُسْلِمِينَ فِي الصِّينِ؛ تَأْلِيفُ: سانغ يوان جي، تَرْجَمَهُ لِلُّغَةِ الصِّينِية: فِينغ يُوو، الْمَكْتَبَةُ التِّجَارِيَّةُ لِلنَّشْرِ، 1348هـ)
《蔷薇园- 水建馥译》‎；参见：《古力斯坦》	الْگُلِسْتَان (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
《圣贤传》（波斯文的维吾尔文译著，历史传记译著）	سِيَرُ الْأَئِمَّة (مُتَرْجَمٌ عَنِ الْفَارِسِيَّة إِلَى الْإِيغُورِيَّةِ)
《四伊玛目传》（维吾尔文历史著作）	وَقَائِعُ الْأَئِمَّةِ الْأَرْبَعَة (كِتَابٌ عَنْ تَأْرِيخ مَعَارِك أَرْبَعَةِ أَئِمَّةٍ فِي شِينْجِيَانْغ)
《苏图克.布格拉汗传》（维吾尔语历史传记著作）	سِيرَةُ ستوق بوغراخان (بِالْإِيغُورِيَّةِ فِي التَّارِيخِ‏)
《天文宝书》；参见：《明泽天文书》	مُجْمَلُ الْأُصُولِ فِي أَحْكَامِ النُّجُومِ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
《天文书》；参见：《明泽天文书》	مُجْمَلُ الْأُصُولِ فِي أَحْكَامِ النُّجُومِ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
《帖木儿武功记》，《武功记》	ظافر نامه (يُؤَرِّخُ لِمَعَارِكِ تيمورلنك بالِلُّغَةِ الْفَارِسِيَّة؛ تَأْلِيفُ: مولانا شريف الدِّين علي)
《吐蕃在中亚：中古早期吐蕃、突厥、大食、唐朝争夺史》（现在美国藏学家白桂思“Beckwith Christopher I”编者，汉文译者：付建河，新疆人民出版社，2012年首版）	التِّبْتُ فِي وَسَطِ آسْيَا: تَارِيخُ الصِّرَاعِ بَيْنَ التِّبْتِ وّالتُّرْكِ وَالْعَرَبِ وَأُسْرَةِ تْهَانْغ فِي بِدَايَةِ الْقُرُونِ الْوُسْطَى (تَأْلِيفُ: الْمُسْتَشْرِقُ الْأَمْرِيكِيّ: بكويث، وَنَقَلَهُ لِلُّغَةِ الصِّينِيَّةِ: فو جيان خه، صَدَرَ عَنْ مَطْبَعَةِ الشَّعْبِ في شينجيانغ، الطَّبْعَةُ الْأُولَى عام 1433هـ)
《象宗书》；参见：《明泽天文书》	مُجْمَلُ الْأُصُولِ فِي أَحْكَامِ النُّجُومِ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
《新疆回部志》，亦称：《回疆志》	شِينْجِيَانْغ وَأَخْبَارِهَا (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
《新史》（维吾尔文历史著作）	التَّارِيخُ الْجَدِيدُ (كِتَابٌ بِالْإِيغُورِيَّة في التَّارِيخِ‏)
《寻求真理者之友》‎（波斯文乌鲁木齐宗教故事和历史古籍；作者：沙.马赫穆德.舒拉斯）	أَنِيسُ الطَّالِبِينَ مِنْ كِتَابِ سِيَرِ الْقِدِّيسِين (كِتَابٌ بالْفَارِسِيَّة، تَأْلِيفُ: شاه محمود شوراس، فِي الْقَصَصِ والْحِكْمَةِ عَنْ أوروموتشي عَاصِمَة مُقَاطَعَة شِينجيانغ)
《伊尔沙德》，《麦札利斯•伊尔沙迪耶》，全名：《修真指南讲座集》（作者：哈吉•穆罕默德，艾敏•阿凡提，伊斯兰教教义和哲学著作）	الْمَجَالِسُ الْإِرْشَادِيَّةُ (كِتَابٌ بِاللُّغَةِ التُّرْكِيَّةِ فِي الْعَقِيدَةِ وَالْفَلْسَفَةِ؛ تَأْلِيفُ الْحَاجّ: مُحَمَّد أَمِين أَفَنْدِي)
《伊米德史》（维吾尔文著作；著作：毛拉.穆萨）	تَارِيخُ الْآمِدِيّ (بالِلُّغَةِ الإيغورية، يَتَحَدَّثُ عَنْ تَأْرِيخِ شِينْجِيَانْغ الِاجْتِمَاعِيّ؛ تَأْلِيفُ: مولى موسى سلامي)
《伊斯兰教法》（作者：吴云贵，中国社会科学出版社，1994年）	الشَّرِيعَةُ الْإِسْلَامِيَّةُ (تَأْلِيفُ: وو يون قوي، الْمَطْبَعَةُ الصِّينِيَّةُ لِلْعُلُومِ الِاجْتِمَاعِيَّة، 1414هـ)
《伊斯兰教法史》（A History Of Islamic Law；作者：N．J．Coulson，中文译本：中国社会科学出版社，1986年）	تَأْرِيخُ الْفِقْهِ الْإِسْلَامِيّ (كِتَابٌ إِنْگِلِيزِيّ فِي تَأْرِيخِ التَّشْرِيعِ تَأْلِيفُ: الْمُسْتَشَرْق الْإِنْگِلِيزِيّ كولسون، صَدَرَ عَام 1383هـ، ثم ترجم لِلُّغَةِ الصِّينِية وصَدَرَ عَام 1406هـ الْمَطْبَعَةُ الصِّينِيَّةُ لِلْعُلُومِ الِاجْتِمَاعِيَّة)
《伊斯兰教简史》（作者：赛义德·菲亚兹·马茂德（巴基斯坦）；吴云贵等译， 中国社会科学出版社，1981年版。）	مُخْتَصَرُ تَأْرِيخِ الْإِسْلَام (تَأْلِيفُ: سَيّد فَايِز محمود "باكستاني" صَدَرَ بِالِلُّغَةِ الِانْگِلِيزِيَّة، تَرْجَمَهُ لِلُّغَةِ الصِّينِية: وو يون قوي، جين إي جيو وغيرهما، الْمَطْبَعَةُ الصِّينِيَّةُ لِلْعُلُومِ الِاجْتِمَاعِيَّة، 1401هـ)
《伊斯兰教建筑艺术》‎（维吾尔文译著；原书阿文：出版于1990年）	فَنُّ الْعِمَارَةِ الْإِسْلَامِيَّةِ ‏(فِي الْفَنِّ الْإِسْلَامِي بِالِلُّغَةِ الْإِيغُورِيَّة، تَأْلِيفُ: عيشان عبد الرحيم، من شِينْجِيَانْغ، وله تَرْجَمَة بالِلُّغَةِ الصِّينِية صَدَرَ عَام 1410هـ)
《伊斯兰教思想历程》（作者：筒井俊彦；秦惠彬译， 今日中国出版社，1992年版。）	مَسِيرَةُ الْفِكْرِ الْإِسْلَامِيِّ (تَأْلِيفُ: إيزوتسو "مُسْتَعْرِبٌ يَابَانِيٌّ"، تَرْجَمَةُ: تشين خوي بين، مَطْبَعَةُ الصِّينِ الْيَوْم، 1412هـ)
《伊斯兰教在中国的传人及其发展》（日本学者研究中国伊斯兰教史的学术专著；作者：田坂兴道，东洋文库出版社，1964年）	دُخُولُ الْإِسْلَامِ الصِّينَ وَتَطَوُّرِهِ (بَحْثٌ عِلْمِيٌّ يَابَانِيّ نُشِرَ عام 1383هـ من تَأْلِيفُ الباحث الْيَابَاني: تيان بان شينغ داو، مَكْتَبَةُ تويو بونكو لِلنَّشْرِ "الْيَابَان")
《伊斯兰哲学史》（作者：第·博尔（T.J. de Boer）“The History of Philosophy in Islām”；马坚译， 中华书局，1958年版。）	تَارِيخُ الْفَلْسَفَةِ فِي الْإِسْلَامِ (تَأْلِيفُ: تي جي بوير، تَرْجَمَةُ: مُحَمَّد مَكِين مَا جِيَان، دَارُ الْكُتُبِ الصِّينِيَّةِ، 1377هـ)
《伊斯兰志》（作者：秦惠彬，上海人民出版社，1998年）	الْإِسْلَامُ (تَأْلِيفُ: تشين خوي بين، مَطْبَعَةُ الشَّعْبِ فِي شَانْغَهَاي، 1419هـ)
《依达耶提传》（维吾尔文历史传记著作）	سِيرَةُ عدايات (بِالْإِيغُورِيَّة يَحْكِي سِيرَة رَجُلٍ مِنْ شِينْجِيَانْغ)
《音乐的西流——从萨拉森到欧洲》，中文译本名为：《伊斯兰音乐》（阿拉伯音乐日文著作；作者：岸边成雄，中文译者：郎樱，上海文艺出版社出版1983年）	الْمُوسِيقَى الْعَرَبِيّة -- مِنْ سَرْقَسْطَة إِلَى أُورُبَّا (كِتَابٌ يَابَانِيّ فِي الْمُوسِيقَى الْعَرَبِيَّةِ وَتَارِيخِهَا؛ تَأْلِيفُ: أن بيان تشهنغ شيونغ، نَقَلَهُ لِلُّغَةِ الصِّينِيَّةِ لانغ ينغ، طُبِعَ عَامَ 1403هـ عَنْ دارِ شَانْغهَاي لِلْفُنُونِ وَالْآدَاب)
《杂学本》，撒拉语：《土尔克文菲扎伊勒》	الْمَعَارِفُ الْإِسْلَامِيةُ بالِلُّغَةِ السَّالَارِيَّة (وَيُمْكِن تَرْجَمَتُهُ: "مَا لَا يَسَعُ جَهْلُه"؛ كِتَابٌ مُتَرْجَمٌ لِلُّغَةِ قَوْمِيَّة سَالَار الْمُسْلِمَة، يَجْمَعُ الْمَعَارِفَ الْإِسْلَامِية؛ تُرْجِمَ في نِهَايَةِ عَهْدِ أُسْرَةِ مينغ وَبِدَايَةَ أُسْرَةِ تشينغ)
《在中国土地上的战争》，《穆斯林在中国土地上的圣战》（作者：毛拉.比拉勒.本.毛拉.优素福，维吾尔文历史诗篇）	الْمَلْحَمَةُ الشِّعْرِيَّةُ التَّارِيخِيَّةُ لِجِهَادِ الْمُسْلِمِينَ عَلَى الْأَرَاضِيّ الصِّينِية (مَلْحَمَةٌ شِعْرِيَّةٌ تَارِيخِيَّةٌ بِالِلُّغَةِ الإيغُورِيّةِ تُؤَرِّخُ لِانْتفَاضَاتِ الْمُسْلِمِينَ فِي الصِّينِ؛ تَأْلِيفُ الْمُؤَرِّخ: وَالشَّاعِرُ الْإِيغُورِيّ: مولى بلال بن مولى يوسف)
《昭微经》（波斯文苏非主义著作；作者：加米）	لَوَائِحُ الْحَقِّ وَلَوَامِعُ الْعِشْقِ (فَارِسِيٌّ فِي التَّصَوُّف؛ تَأْلِيفُ: عَبْدُ الرَّحْمَن بن أَحْمَد جَامِي)
《真境花园》，参见《古洛司汤》	بُسْتَانُ الْحَقَائِق (راجع مادة: الگلستان)
《真理的入门》，《真理的礼品》，《真理的门阶》（维吾尔察合台语劝诫诗篇；作者：优格纳克“13世纪”）	مَدْخَلُ الْحَقَائِقِ (شِعْرٌ فِي النَّصَائِحِ وَالْحِكَمِ بِاللُّغَةِ الْإِيغُورِيَّةِ الْجَغْطَائِيَّة في الْقَرْنِ 13م؛ تَأْلِيفُ: أَحْمَدُ بْنُ مُحَمَّد لُقْنَاق)
《真理入门》（维吾尔语文学作品，作家：艾哈玛德.优肯艾肯，中文译者：魏萃译，1981年出版）	الْمَدْخَلُ إِلَى الْحَقَائِق (أو "عَتَبَةُ الْحَقَائِقِ"، كِتَابٌ فِي الْأَدَبِ الْإِيغُورِيّ؛ تَأْلِيفُ الْأَدِيب الإيغوري: أحمد يوكنكينيين، تَرْجَمَه لِلُّغَةِ الصِّينِية ويي تسوي وصَدَرَ عَام 1401هـ)
《政治论》，《政治册》（波斯文著作；作者：尼扎姆.穆尔克，中文译著，从英文译成中文，译者：许序雅等人合译）	سياست نامه (أو: " سِيَرُ الْمُلُوكِ"؛ كِتَابٌ بالْفَارِسِيَّة فِي السِّيَاسَةِ وَالْحُكْمِ وَسِيَرِ الْمُلُوك، تَأْلِیفُ: خَوَاجَه نِظَام الملک أَبُوعَلِی حَسَن الطُّوسِی، نَقَلَهُ لِلُّغَةِ الصِّينِية د: سوسو يا وَغَيْرُهُ عَنِ الِانْگِلِيزِيَّة)
《中国伊斯兰教史》（德文著作，原名： Zur Geshichte dos Islam In China；作者：Martin Hartmann，德国东方学家介绍伊斯兰教和中国穆斯林的反抗起义，1914年出版）	تَأْرِيخُ الْإِسْلَامِ فِي الصِّينِ (كِتَابٌ بِالْأَلْمَانِيَّة؛ تَأْلِيفُ: الْمُسْتَشَرْق الْأَلْمَانِيّ مارتن هارتمان، يَتَحَدَّثُ عَنْ أَحْوَال الْمُسْلِمِين فِي الصِّينِ فِي الْقَرْن التَّاسِع عَشَر ومقاومة أسرة تشينغ، طبع عام 1332هـ)
中国伊斯兰教群体、部门和机构	التَّجَمُّعَاتُ، وَالْهَيْئَاتُ، وَالْمُؤسَّسَاتُ الْإِسْلَامِيَّةُ الصِّينِيَّةُ
北京世界回教书局 （北京；民国）	مَكْتَبَةُ الْإِسْلَامِ الْعَالَمِيَّةِ ببكين (بكين؛ فِي عَهْدِ الْجُمْهُورِيَّةِ الصِّينِيَّةِ)
北平成达师范出版部（北平；1936）	مَطْبَعِةُ الْمُعَلِّمِينَ فِي بِكِين (إِحْدَى الْمَطَابِع الْإِسْلَامِيَّة، بكين؛ 1354هـ)
成达师范学校（中国—1925年）	مَدْرَسَةُ تْشِهِنْغ دَا لِلْمُعَلِّمِينَ (تَأَسَّسَت فِي عَامِ 1343هـ)
东亚穆民教育总会，东亚清真教育总会（中国-1903年）	جَمْعِيَّةُ شَرْقُ آسْيَا لِلتَّعْلِيمِ الْإِسْلَامِيّ (1320هـ؛ فِي الصِّينِ)
东亚清真总会	التَّجَمُّعُ الْإِسْلَامِيُّ التَّعْلِيمِيُّ لِشَرْقِ آسْيَا (تَجَمُّعٌ إِسْلَامِيٌّ فِي الصِّينِ فِي بِدَايَةِ الْقَرْنِ الْعِشْرِين)
罕里克经学堂（新疆地区的一所伊斯兰教学校）	مَدْرَسَةُ خان لي كه لِلْعُلُومِ الشَّرْعِيَّة (إِحْدَى الْمَدَارِس الْأَثَرِيَّة فِي شينجيانغ)
回回国子学（元朝，1314前）	الْمَعْهَدُ الْعَالِيُّ لِلُّغَةِ الْعَرَبِيَّةِ (فِي عَهْدِ يُوَان قَبْلَ عَامِ 1314هـ)
回教文化出版同志会	مَطْبَعِةُ جَمْعِيَّةِ الرِّفاقِ لِلثَّقَافَةِ الْإِسْلاَمِيَّةِ
教坊，寺坊	دَارُ الْمُنَاسَبَاتِ الدِّينِيَّةِ، هَيْئَةُ الشُّؤُونِ الدِّينِيَّةِ (مَكَانٌ كَانَ يَتِمُّ فِيهِ إِدَارَةُ الشُّؤُنُ الْإِسْلَامِيَّةِ لِلْمُسْلِمِينَ وَمَسَاجِدِهِم فِي الصِّين)؛ حَيُّ الْمَسْجِدِ
锦城宝真堂（十九世纪中叶伊斯兰教刻印和发行社）	دَارُ الْكِتَابِ الْعَزِيزِ لِلطِّبَاعَةِ وَالنَّشْرِ بِمَدِينَةِ جين (إِحْدَى أَوَائِلِ دُورِ الطِّبَاعَةِ الْإِسْلَامِيّة فِي الصين؛ تأَسَّسَت فِي مُنْتَصَفِ الْقَرْنِ التَّاسِعَ عَشَر)
留东清真教育会（留日本中国伊斯兰文化群体；1907年）	الْجَمْعِيَّةُ الْعِلْمِيّةُ الْإِسْلَامِيةُ لِلْوَافِدِينَ الصِّينِيينَ فِي طُوكْيُو (تَجَمُّع إِسْلَامِيٌّ ثَقَافِيٌّ لِلْوَافِدِينَ فِي طوكيو بِالْيَابَان عام 1325هـ)
清真书报社（北平）	دَارُ الْكُتُبِ الْإِسْلَامِيَّة (بكين)
清真学会（北京；1913）	الْجَمْعِيَّةُ الْإِسْلَامِيَّةُ (بِكِين، 1331هـ)
清真学社	النَّادِي الْعِلْمِيُّ الْإِسْلَامِيُّ (تَجَمُّع ثَقَافِي إِسْلَامِي صِينِي مَطْلَع الْقَرْن الْعِشْرِين)
清真学社（中国，1917年）	جَمْعِيَّةُ الْمُثَقَّفِينَ الْإِسْلَامِيَّةِ (تَجَمُّع إِسْلَامِيّ لِلْمُثَقَّفِين الْمُسْلِمِين الصِّينِيِّين عَام 1335هـ)
世界宗教研究所（中国社会科学院附属部门）	مَرْكَزُ دِرَاسَاتِ الْأَدْيَانِ الْعَالَمِيّ (مَرْكَزٌ تَابِعٌ لِلأَكَادِيمِيَّةِ الصِّينِيةِ لِلْعُلُومِ الِاجْتِمَاعِيَّة)
